what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765907228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765908628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395765908638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395765910494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765917556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765920286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395765922096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395765922636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765923706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765929946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395765933826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395765934426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395765964198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395765968038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395765969918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766176101
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395766182131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766183361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766184171
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395766184181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395766184181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766186441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766187591
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395766187611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395766187611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766188521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766188771
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395766188781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395766188781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766191251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395766191571
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1395766191581
