what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1395764326954
error,log,,,"Core exception while retrieving the content description",1395764326954
error,log,,,"Core exception while retrieving the content description",1395764326954
error,log,,,"Core exception while retrieving the content description",1395764326954
error,log,,,"Core exception while retrieving the content description",1395764326954
error,log,,,"Core exception while retrieving the content description",1395764326964
error,log,,,"Core exception while retrieving the content description",1395764326964
error,log,,,"Core exception while retrieving the content description",1395764326964
error,log,,,"Core exception while retrieving the content description",1395764326964
error,log,,,"Core exception while retrieving the content description",1395764326974
error,log,,,"Core exception while retrieving the content description",1395764326974
error,log,,,"Core exception while retrieving the content description",1395764326974
error,log,,,"Core exception while retrieving the content description",1395764326974
error,log,,,"Core exception while retrieving the content description",1395764326974
error,log,,,"Core exception while retrieving the content description",1395764326984
error,log,,,"Core exception while retrieving the content description",1395764326984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395764332834
error,log,,,"Core exception while retrieving the content description",1395764334104
error,log,,,"Core exception while retrieving the content description",1395764334104
error,log,,,"Core exception while retrieving the content description",1395764334104
error,log,,,"Core exception while retrieving the content description",1395764334104
error,log,,,"Core exception while retrieving the content description",1395764334114
error,log,,,"Core exception while retrieving the content description",1395764334114
error,log,,,"Core exception while retrieving the content description",1395764334114
error,log,,,"Core exception while retrieving the content description",1395764334114
error,log,,,"Core exception while retrieving the content description",1395764334114
error,log,,,"Core exception while retrieving the content description",1395764334124
error,log,,,"Core exception while retrieving the content description",1395764334124
error,log,,,"Core exception while retrieving the content description",1395764334124
error,log,,,"Core exception while retrieving the content description",1395764334124
error,log,,,"Core exception while retrieving the content description",1395764334124
error,log,,,"Core exception while retrieving the content description",1395764334124
error,log,,,"Core exception while retrieving the content description",1395764334134
error,log,,,"Core exception while retrieving the content description",1395764334134
error,log,,,"Core exception while retrieving the content description",1395764334134
error,log,,,"Core exception while retrieving the content description",1395764334134
error,log,,,"Core exception while retrieving the content description",1395764334134
error,log,,,"Core exception while retrieving the content description",1395764334144
error,log,,,"Core exception while retrieving the content description",1395764334144
error,log,,,"Core exception while retrieving the content description",1395764334144
error,log,,,"Core exception while retrieving the content description",1395764334144
error,log,,,"Core exception while retrieving the content description",1395764334144
error,log,,,"Core exception while retrieving the content description",1395764334154
error,log,,,"Core exception while retrieving the content description",1395764334154
error,log,,,"Core exception while retrieving the content description",1395764334154
error,log,,,"Core exception while retrieving the content description",1395764334154
error,log,,,"Core exception while retrieving the content description",1395764334154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395764335244
error,log,,,"Core exception while retrieving the content description",1395764336114
error,log,,,"Core exception while retrieving the content description",1395764336114
error,log,,,"Core exception while retrieving the content description",1395764336114
error,log,,,"Core exception while retrieving the content description",1395764336124
error,log,,,"Core exception while retrieving the content description",1395764336124
error,log,,,"Core exception while retrieving the content description",1395764336124
error,log,,,"Core exception while retrieving the content description",1395764336124
error,log,,,"Core exception while retrieving the content description",1395764336134
error,log,,,"Core exception while retrieving the content description",1395764336134
error,log,,,"Core exception while retrieving the content description",1395764336134
error,log,,,"Core exception while retrieving the content description",1395764336144
error,log,,,"Core exception while retrieving the content description",1395764336144
error,log,,,"Core exception while retrieving the content description",1395764336144
error,log,,,"Core exception while retrieving the content description",1395764336144
error,log,,,"Core exception while retrieving the content description",1395764336144
error,log,,,"Core exception while retrieving the content description",1395764336154
error,log,,,"Core exception while retrieving the content description",1395764336154
error,log,,,"Core exception while retrieving the content description",1395764336154
error,log,,,"Core exception while retrieving the content description",1395764336154
error,log,,,"Core exception while retrieving the content description",1395764336164
error,log,,,"Core exception while retrieving the content description",1395764336164
error,log,,,"Core exception while retrieving the content description",1395764336164
error,log,,,"Core exception while retrieving the content description",1395764336174
error,log,,,"Core exception while retrieving the content description",1395764336174
error,log,,,"Core exception while retrieving the content description",1395764336174
error,log,,,"Core exception while retrieving the content description",1395764336174
error,log,,,"Core exception while retrieving the content description",1395764336174
error,log,,,"Core exception while retrieving the content description",1395764336184
error,log,,,"Core exception while retrieving the content description",1395764336184
error,log,,,"Core exception while retrieving the content description",1395764336184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1395764339904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395764341104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395764341564
error,log,,,"Core exception while retrieving the content description",1395764342624
error,log,,,"Core exception while retrieving the content description",1395764342624
error,log,,,"Core exception while retrieving the content description",1395764342634
error,log,,,"Core exception while retrieving the content description",1395764342634
error,log,,,"Core exception while retrieving the content description",1395764342644
error,log,,,"Core exception while retrieving the content description",1395764342654
error,log,,,"Core exception while retrieving the content description",1395764342654
error,log,,,"Core exception while retrieving the content description",1395764342654
error,log,,,"Core exception while retrieving the content description",1395764342654
error,log,,,"Core exception while retrieving the content description",1395764342664
error,log,,,"Core exception while retrieving the content description",1395764342664
error,log,,,"Core exception while retrieving the content description",1395764342664
error,log,,,"Core exception while retrieving the content description",1395764342674
error,log,,,"Core exception while retrieving the content description",1395764342674
error,log,,,"Core exception while retrieving the content description",1395764342674
error,log,,,"Core exception while retrieving the content description",1395764342674
error,log,,,"Core exception while retrieving the content description",1395764342674
error,log,,,"Core exception while retrieving the content description",1395764342684
error,log,,,"Core exception while retrieving the content description",1395764342684
error,log,,,"Core exception while retrieving the content description",1395764342684
error,log,,,"Core exception while retrieving the content description",1395764342694
error,log,,,"Core exception while retrieving the content description",1395764342694
error,log,,,"Core exception while retrieving the content description",1395764342694
error,log,,,"Core exception while retrieving the content description",1395764342694
error,log,,,"Core exception while retrieving the content description",1395764342694
error,log,,,"Core exception while retrieving the content description",1395764342704
error,log,,,"Core exception while retrieving the content description",1395764342704
error,log,,,"Core exception while retrieving the content description",1395764342704
error,log,,,"Core exception while retrieving the content description",1395764342704
error,log,,,"Core exception while retrieving the content description",1395764342714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1395764343774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395764344294
