what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395682759410
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1395682762076
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395682763262
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395682766065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682776400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682781362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1395682781397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682790963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682798405
opened,view,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.view",1395682798623
activated,view,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.view",1395682798692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1395682798692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1395682798692
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395682803008
closed,view,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.view",1395682803025
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395682804755
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1395682805066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682807288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682807913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395682807922
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395682810585
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395682812572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395682812655
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1395682814497
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395682814497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682817324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682827660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682831491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682853152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682853164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682853196
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1395682853283
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1395682853295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395682853329
